Club,mean,count(1)
Columbus Crew SC,59.921383647798756,28
Olympique Lyonnais,59.89937106918239,34
Toronto FC,59.899371069182386,29
Associação Chapecoense de Futebol,59.88993710691823,20
Santos Laguna,59.885849056603774,27
Rosenborg BK,59.87821612349915,24
SC Freiburg,59.84775536759922,32
Hellas Verona,59.846037735849066,28
Gimnàstic de Tarragona,59.839972047519225,30
Fulham,59.82479784366577,30
Santiago Wanderers,59.82285115303983,20
UD Almería,59.81940700808626,24
Tiburones Rojos de Veracruz,59.793126684636114,30
CF Reus Deportiu,59.766723842195546,26
SC Heerenveen,59.74875868917579,24
Vitória Setúbal,59.7437106918239,27
Audax Italiano,59.664570230607964,20
New England Revolution,59.664150943396216,26
Al Ahli,59.64757412398921,31
Avaí Futebol Clube,59.63626834381551,20
FC Rostov,59.6283839212469,27
Dijon FCO,59.61660377358491,29
1. FC Union Berlin,59.61242138364779,27
Burnley,59.599671862182106,32
KV Oostende,59.57039187227867,28
Derby County,59.56064690026953,30
Nottingham Forest,59.55974842767296,30
FC København,59.55110062893082,27
LA Galaxy,59.48185776487662,29
Bari,59.45428156748911,29
Sydney FC,59.44289970208541,21
FC Lorient,59.36878216123498,25
Queens Park Rangers,59.35916442048517,30
Atiker Konyaspor,59.29402515723271,27
Associação Atlética Ponte Preta,59.28825995807128,20
Puebla,59.274716981132066,29
Atlético Clube Goianiense,59.269392033542985,20
Middlesbrough,59.26764500349405,30
Grupo Desportivo de Chaves,59.25864779874214,27
KV Kortrijk,59.24150943396227,28
Vitória Guimarães,59.21886792452829,30
Norwich City,59.20344544708779,30
VfL Bochum,59.18142235123368,30
Ipswich Town,59.179594689028654,30
Rangers,59.14264150943395,28
Al Nassr,59.13358490566037,30
Granada CF,59.0927672955975,30
Göztepe,59.08333333333334,27
C.D. Leonesa S.A.D.,59.06946826758147,26
CPD Junior Barranquilla,59.06525157232704,28
Hamburger SV,59.06401617250675,33
Lechia Gdańsk,59.05345911949686,27
Querétaro,59.01358490566038,29
FC Ufa,58.99015586546348,26
KRC Genk,58.98392732354997,29
FC Midtjylland,58.96524329692156,27
Rio Ave FC,58.96312178387648,28
New York City Football Club,58.95734208367514,26
Ferrara (SPAL),58.88226415094339,29
Huddersfield Town,58.87601078167115,33
Real Sporting de Gijón,58.827830188679236,30
Club Atlético Huracán,58.81433962264152,28
Jeonbuk Hyundai Motors,58.81210691823899,28
FC Groningen,58.806603773584904,23
Dinamo Moscow,58.79416809605488,27
Club León,58.79172714078373,29
Suwon Samsung Bluewings,58.767547169811316,28
San Luis de Quillota,58.765199161425585,20
FC Red Bull Salzburg,58.759433962264154,26
FC Seoul,58.75181422351234,28
1. FC Nürnberg,58.7437106918239,28
Medicana Sivasspor,58.74310595065312,30
Kasimpaşa SK,58.73135669362085,25
Independiente Santa Fe,58.69962264150944,28
Boavista FC,58.684835779175394,30
FC Paços de Ferreira,58.664731494920176,30
Club de Deportes Temuco,58.66247379454928,20
Curicó Unido,58.658280922431864,20
San Jose Earthquakes,58.590408805031466,30
CS Marítimo,58.58490566037736,30
Cardiff City,58.584905660377345,30
Rosario Central,58.57962264150943,28
Deportivo Toluca,58.575821104122994,30
Leeds United,58.535377358490564,30
Defensa y Justicia,58.51965408805031,28
Alanyaspor,58.49492017416546,30
Monarcas Morelia,58.472452830188665,28
Guadalajara,58.47239692522711,30
U.N.A.M.,58.46371552975326,29
Sangju Sangmu FC,58.450566037735854,28
CF Os Belenenses,58.433141919606236,26
SK Brann,58.395233366434944,22
FC Sion,58.36713836477987,27
Sporting Kansas City,58.36535162950258,27
Vitória ,58.36477987421382,20
Kawasaki Frontale,58.35921625544267,30
Club Atlas,58.35413642960811,30
Estoril Praia,58.350628930817614,27
Real Zaragoza,58.34241788958769,30
Necaxa,58.34034833091436,29
Fortuna Düsseldorf,58.338113207547174,28
FC Twente,58.30188679245283,27
Pachuca,58.288098693759075,30
Vitesse,58.25576519916144,26
